# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
wang luo 	網絡	c=40 d=1.27073 t=155259
wang pan 	網盤	c=111 d=1.00004 t=150214
wang qian 	往前	c=1 d=1 t=133500
wang shang 	往上	c=1 d=1 t=39490
wang shang 	網上	c=2 d=1.00002 t=126236
wang shang 	網商	c=1 d=1 t=99531
wang su 	網速	c=5 d=1 t=85403
wang tong 	網通	c=1 d=1 t=138187
wang wang 	旺旺	c=1 d=1 t=41214
wang wang 	汪汪	c=9 d=1 t=155591
wang wang dui 	汪汪隊	c=3 d=1 t=133436
wang ye 	網頁	c=1 d=1 t=143868
wang zhan 	網站	c=10 d=1 t=65987
wang zhe 	王者	c=1 d=1 t=154218
wang zhen 	王振	c=2 d=1 t=41336
wang zhi 	王志	c=1 d=1 t=31926
wang zhi 	網址	c=1 d=1 t=77958
wang zong 	王總	c=5 d=1.7788 t=138133
wei 	位	c=16 d=1 t=129699
wei 	偉	c=4 d=1 t=122497
wei 	威	c=1 d=1 t=74406
wei 	尾	c=2 d=1 t=96186
wei 	微	c=12 d=1 t=137952
wei 	未	c=198 d=1 t=155870
wei 	爲	c=177 d=1.07976 t=156517
wei bu 	尾部	c=2 d=1 t=146576
wei chi 	維持	c=2 d=1 t=141609
wei dai ma 	僞代碼	c=1 d=1 t=61826
wei deng lu 	未登錄	c=1 d=1 t=88591
wei du 	未讀	c=2 d=1.96079 t=83874
wei du 	維度	c=1 d=1 t=6489
wei du 	緯度	c=3 d=1.13199 t=74616
wei fa bu 	未發佈	c=1 d=1 t=91029
wei guan 	圍觀	c=3 d=2.85551 t=52622
wei gui 	違規	c=1 d=1 t=39484
wei hu 	維護	c=26 d=1 t=151032
wei hun qi 	未婚妻	c=1 d=1 t=133034
wei jian 	未見	c=1 d=1 t=115519
wei li 	威力	c=1 d=1 t=133434
wei sha 	爲啥	c=36 d=1.00117 t=156255
wei shen me 	爲什麼	c=12 d=1.00181 t=156251
wei sheng 	衛生	c=3 d=1 t=151465
wei xian 	危險	c=1 d=1 t=19379
wei xin 	微信	c=206 d=2.14971 t=156458
wei xin hao 	微信號	c=1 d=1 t=101081
wei yi 	唯一	c=17 d=1.00351 t=153283
wei yi xing 	唯一性	c=3 d=1.92312 t=107555
wei zhi 	位置	c=14 d=1 t=151864
wei zhi 	未知	c=4 d=1 t=133383
wei zi 	位子	c=1 d=1 t=140851
wen 	問	c=194 d=1.54607 t=155913
wen 	文	c=14 d=1.00747 t=119402
wen 	聞	c=2 d=1 t=10280
wen ben 	文本	c=16 d=1 t=143446
wen da 	問答	c=19 d=1 t=112656
wen dang 	文檔	c=193 d=1.97394 t=152042
wen dang shang 	文檔上	c=2 d=1.00004 t=78925
wen ding 	穩定	c=2 d=1 t=138712
wen ding xing 	穩定性	c=4 d=1 t=138713
wen du 	溫度	c=1 d=1 t=77520
wen e yi 	問惡意	c=1 d=1 t=96013
wen hao 	問好	c=2 d=1 t=137674
wen hao 	問號	c=2 d=1 t=155191
wen hua 	文化	c=1 d=1 t=60054
wen jian 	文件	c=377 d=1.07949 t=156107
wen jian jia 	文件夾	c=36 d=1 t=154717
wen jian ming 	文件名	c=2 d=1 t=112177
wen jiang 	溫江	c=10 d=1 t=146504
wen ku 	文庫	c=32 d=1 t=154838
wen nei rong 	問內容	c=1 d=1 t=45662
wen ni 	問你	c=1 d=1 t=98444
wen rou 	溫柔	c=1 d=1 t=50905
wen ti 	問題	c=1537 d=1.45614 t=156623
wen xia 	問下	c=110 d=1 t=150086
wen zhang 	文章	c=18 d=1 t=129429
wen zi 	文字	c=22 d=1 t=152209
wo 	我	c=6773 d=12.8662 t=156670
wo de 	我的	c=1 d=1 t=60303
wo men 	我們	c=56 d=1 t=155398
wo o 	我哦	c=1 d=1 t=81023
wo pa 	我怕	c=2 d=1 t=127634
wo shou 	握手	c=1 d=1 t=92693
wo ye gao 	我也搞	c=1 d=1 t=141901
wo zhe bian 	我這邊	c=1 d=1 t=112678
wpa 	WPA	c=1 d=1 t=70128
wu 	五	c=17 d=1.00828 t=145928
wu 	務	c=3 d=1 t=49513
wu 	勿	c=4 d=1.10733 t=100728
wu 	午	c=1 d=1 t=10262
wu 	吳	c=17 d=1.99501 t=109745
wu 	無	c=40 d=0.133542 t=154291
wu 	誤	c=2 d=1 t=142212
wu cao zuo 	誤操作	c=1 d=1 t=87307
wu cha 	誤差	c=1 d=1 t=45523
wu da 	五大	c=2 d=1 t=37673
wu dian 	污點	c=3 d=1 t=101996
wu fa 	無法	c=118 d=1.00001 t=154015
wu fen zhong 	五分鐘	c=1 d=1 t=139901
wu fu hao 	無符號	c=1 d=1 t=8352
wu guan 	無關	c=2 d=1 t=82098
wu guang 	無光	c=1 d=1 t=87694
wu han 	武漢	c=8 d=1 t=139618
wu jie 	無解	c=3 d=1 t=131136
wu li 	物理	c=7 d=1 t=150660
wu lun 	無論	c=1 d=1 t=43734
wu ni 	污泥	c=1 d=1 t=31923
wu po 	巫婆	c=1 d=1 t=97582
wu quan xian 	無權限	c=1 d=1 t=107739
wu rao 	勿擾	c=2 d=1.98511 t=100732
wu sha 	誤殺	c=1 d=1 t=44958
wu shui 	午睡	c=1 d=1 t=72185
wu shui 	污水	c=5 d=1.09005 t=92116
wu shui fei 	污水費	c=1 d=1 t=92117
wu suo wei 	無所謂	c=10 d=1.69769 t=153844
wu wang luo 	無網絡	c=1 d=1 t=154292
wu xian 	無線	c=2 d=1 t=84164
wu xian 	無限	c=5 d=1 t=155477
wu xiao 	無效	c=10 d=1 t=122945
wu xu 	無需	c=1 d=1 t=91624
wu yi 	五一	c=5 d=3.02713 t=139677
wu yong 	無用	c=1 d=1 t=56919
wu yu 	無語	c=2 d=1 t=155819
xi 	喜	c=11 d=1.00002 t=147959
xi 	希	c=1 d=1 t=24845
xi 	洗	c=2 d=1 t=132975
xi 	溪	c=2 d=1 t=117646
xi 	熙	c=4 d=1.99005 t=112826
xi 	西	c=1 d=1 t=148466
xi gua 	西瓜	c=2 d=1.99501 t=10219
xi guan 	習慣	c=5 d=1 t=109666
xi huan 	喜歡	c=2 d=1 t=101153
xi jie 	細節	c=4 d=1 t=156485
xi qu 	吸取	c=1 d=1 t=149518
xi shou jian 	洗手間	c=3 d=1 t=106192
xi shu 	洗漱	c=6 d=1.0542 t=133641
xi tong 	系統	c=150 d=1.86936 t=155987
xi tong ji 	系統級	c=1 d=1 t=77530
xi wang 	希望	c=3 d=1 t=114413
xi ya 	西亞	c=2 d=1 t=84913
xi yang yang 	喜羊羊	c=2 d=1 t=86877
xi yi fu 	洗衣服	c=1 d=1 t=123061
xi yi ji 	洗衣機	c=1 d=1 t=132979
xi zao 	洗澡	c=3 d=1 t=123072
xia 	下	c=3719 d=4.64208 t=156673
xia 	嚇	c=1 d=1 t=34153
xia 	瞎	c=1 d=1 t=148004
xia ban 	下班	c=8 d=1 t=154072
xia chen 	下沉	c=1 d=1 t=2370
xia ci 	下次	c=15 d=1 t=149475
xia dan 	下單	c=12 d=1.00139 t=150198
xia fang 	下方	c=1 d=1 t=18192
xia ge 	下個	c=22 d=1 t=145683
xia hua xian 	下劃線	c=14 d=1 t=151491
xia la 	下拉	c=3 d=1 t=87726
xia la kuang 	下拉框	c=4 d=1.00022 t=2689
xia lai 	下來	c=4 d=1 t=148822
xia li bai 	下禮拜	c=5 d=1 t=125743
xia li bai er 	下禮拜二	c=1 d=1 t=144154
xia mian 	下面	c=29 d=1.58567 t=149987
xia nuo an 	下諾按	c=1 d=1 t=155288
xia qu ba 	下去吧	c=1 d=1 t=79369
xia wan 	下完	c=1 d=1 t=20739
xia wu 	下午	c=61 d=1 t=154323
xia xia lai 	下下來	c=1 d=1 t=66028
xia xian 	下線	c=3 d=1 t=131330
xia zai 	下載	c=98 d=1.03402 t=155768
xia zhou 	下週	c=6 d=1.92312 t=123864
xian 	先	c=511 d=1.05046 t=156660
xian 	現	c=14 d=1 t=108751
xian 	線	c=64 d=1 t=137494
xian 	限	c=6 d=1 t=100945
xian cheng 	現成	c=7 d=0.1 t=141824
xian cheng 	線程	c=2 d=1 t=89022
xian cheng chen 	現成陳	c=1 d=1 t=141825
xian e 	限額	c=1 d=1 t=45695
xian hou 	先後	c=1 d=1 t=100861
xian jin 	現金	c=2 d=1.00001 t=100333
xian kan 	先看	c=1 d=1 t=114876
xian liu 	限流	c=4 d=1 t=151604
xian qu 	先去	c=1 d=1 t=92349
xian que ding 	先確定	c=1 d=1 t=128362
xian shang 	線上	c=3 d=1 t=120826
xian sheng 	先生	c=1 d=1 t=133047
xian shi 	顯示	c=209 d=1.0762 t=156585
xian shi qi 	顯示器	c=1 d=1 t=122348
xian xian 	顯現	c=2 d=1 t=144878
xian xiang 	現象	c=3 d=1 t=139263
xian you 	現有	c=7 d=1 t=126271
xian za 	閒雜	c=2 d=1 t=122680
xian zai 	現在	c=690 d=1.86283 t=156617
xian zhi 	限制	c=71 d=1.00008 t=156221
xiang 	像	c=7 d=1 t=113904
xiang 	向	c=7 d=1 t=134963
xiang 	想	c=34 d=1 t=156672
xiang 	箱	c=10 d=1 t=116939
xiang 	象	c=2 d=1 t=123743
xiang 	響	c=2 d=1.97045 t=6917
xiang 	項	c=19 d=1.00082 t=156190
xiang bu dao 	想不到	c=2 d=1 t=103384
xiang ce 	相冊	c=6 d=1.9802 t=153000
xiang dang 	相當	c=2 d=1 t=154625
xiang dang yu 	相當於	c=4 d=1 t=140744
xiang dao 	想到	c=1 d=1 t=1697
xiang deng 	相等	c=2 d=1 t=142002
xiang dui 	相對	c=17 d=1.98239 t=139599
xiang fa 	想法	c=2 d=1 t=122690
xiang gang 	香港	c=2 d=1 t=118852
xiang guan 	相關	c=22 d=1 t=144536
xiang hao 	想好	c=3 d=1 t=100937
xiang lin 	相鄰	c=1 d=1 t=61823
xiang mu 	項目	c=57 d=1.4607 t=150805
xiang nin 	向您	c=1 d=1 t=111320
xiang qi 	想起	c=2 d=1 t=145063
xiang qian 	向前	c=1 d=1 t=136038
xiang qing 	詳情	c=93 d=1 t=146911
xiang qing lie 	詳情列	c=1 d=1 t=2634
xiang ri kui 	向日葵	c=5 d=1 t=101490
xiang shi 	像是	c=2 d=1 t=67068
xiang shuo 	想說	c=1 d=1 t=119073
xiang si 	相似	c=3 d=1 t=130169
xiang tong 	相同	c=21 d=1 t=154429
xiang xi 	詳細	c=11 d=1 t=138937
xiang xiang 	想想	c=3 d=1 t=123958
xiang ying 	相應	c=3 d=1.00054 t=60667
xiang ying 	響應	c=18 d=1 t=153613
xiang ying shi 	響應式	c=1 d=1 t=91998
xiang zai 	想在	c=1 d=1 t=76171
xiao 	小	c=189 d=1.00035 t=154663
xiao 	曉	c=11 d=1 t=122483
xiao 	校	c=1 d=1 t=43410
xiao bai 	小白	c=2 d=1 t=37195
xiao bian 	小編	c=1 d=1 t=18968
xiao can 	篠驂	c=1 d=1 t=150654
xiao cheng xu 	小程序	c=6 d=1 t=142383
xiao chu 	消除	c=1 d=1 t=87656
xiao dong 	曉東	c=3 d=1 t=108725
xiao e 	小額	c=1 d=1 t=37391
xiao fei 	消費	c=12 d=1 t=156389
xiao fei zu 	消費組	c=1 d=1 t=31635
xiao guo 	效果	c=6 d=1 t=130341
xiao hai 	小孩	c=9 d=1 t=129869
xiao hao 	小號	c=3 d=1.20266 t=101266
xiao hao 	消耗	c=1 d=1 t=12857
xiao hui 	銷毀	c=1 d=1 t=95946
xiao lv 	效率	c=1 d=1 t=108974
xiao mi 	小米	c=36 d=3.84061 t=153583
xiao mi shu 	小祕書	c=11 d=1.96079 t=80372
xiao qian 	小錢	c=35 d=1 t=152897
xiao shan 	蕭山	c=1 d=1 t=36913
xiao shi 	小時	c=19 d=1.00025 t=136415
xiao shi 	消失	c=10 d=1 t=156223
xiao shu 	小數	c=10 d=1 t=155756
xiao shu wei 	小數位	c=1 d=1 t=75177
xiao tu zi 	小兔子	c=1 d=1 t=48523
xiao xi 	消息	c=357 d=1.10358 t=154136
xiao xin 	小心	c=1 d=1 t=70627
xiao yu 	小於	c=4 d=1.93239 t=151848
xiao zhang 	銷賬	c=5 d=1.5466 t=122733
xiao zhu 	小豬	c=1 d=1 t=50896
xiao zu jian 	小組件	c=1 d=1 t=85401
xie 	些	c=58 d=1.00001 t=154923
xie 	協	c=1 d=1 t=36362
xie 	寫	c=193 d=2.35489 t=156292
xie 	謝	c=18 d=1 t=155946
xie cheng 	攜程	c=1 d=1 t=36361
xie gang 	斜槓	c=5 d=1 t=132435
xie ge 	寫個	c=2 d=1 t=80446
xie hao 	寫好	c=1 d=1 t=87919
xie hui 	協會	c=6 d=5.67401 t=1077
xie le 	謝了	c=3 d=1 t=44292
xie lou 	泄漏	c=2 d=1.8781 t=110727
xie ru 	寫入	c=18 d=1 t=155816
xie tiao 	協調	c=4 d=1 t=144252
xie xie 	謝謝	c=7 d=1 t=69109
xie yi 	協議	c=4 d=1 t=148836
xie zhen 	寫真	c=1 d=1 t=10270
xie zhu 	協助	c=21 d=1 t=151415
xie zuo 	協作	c=1 d=1 t=107657
xin 	信	c=16 d=1.12431 t=126646
xin 	心	c=1 d=1 t=108762
xin 	新	c=290 d=1.74011 t=156371
xin dai 	信貸	c=1 d=1 t=99545
xin hao 	信號	c=1 d=1 t=113754
xin jian 	新建	c=23 d=1.21126 t=152864
xin ku 	辛苦	c=5 d=1.02732 t=31774
xin ren 	信任	c=3 d=1 t=96574
xin shi jie 	新世界	c=1 d=1 t=144172
xin tiao 	心跳	c=1 d=1 t=131723
xin wen 	新聞	c=15 d=1.00001 t=77585
xin xi 	信息	c=322 d=2.56218 t=156626
xin xian 	新鮮	c=1 d=1 t=138006
xin yong 	信用	c=2 d=1 t=33965
xin yong ka 	信用卡	c=7 d=1 t=146727
xin zeng 	新增	c=20 d=1 t=128033
xin zeng biao 	新增表	c=1 d=1 t=56008
xing 	形	c=1 d=1 t=136526
xing 	性	c=13 d=1 t=155740
xing 	星	c=168 d=2.01283 t=152690
xing 	行	c=306 d=1.04441 t=156088
xing 	醒	c=1 d=1 t=124994
xing ba 	行吧	c=2 d=1 t=92860
xing bie 	性別	c=4 d=1 t=119028
xing cheng 	形成	c=1 d=1 t=36360
xing cheng 	行程	c=3 d=1 t=102487
xing dong 	行動	c=1 d=1 t=93272
xing hao 	型號	c=4 d=1 t=99037
xing hao 	星號	c=1 d=1 t=77642
xing jia bi 	性價比	c=1 d=1 t=89824
xing kong 	星空	c=2 d=1.98511 t=34213
xing ming 	姓名	c=70 d=1 t=152724
xing neng 	性能	c=20 d=1.00164 t=156071
xing qi 	星期	c=4 d=1 t=155450
xing shi 	形式	c=1 d=1 t=51036
xing wei 	行爲	c=4 d=1 t=95935
xing xing 	星星	c=21 d=1 t=152240
xing zheng 	行政	c=1 d=1 t=138027
xing zhi 	性質	c=13 d=8.86913 t=96485
xiong 	熊	c=7 d=1 t=154420
xiong mao 	熊貓	c=1 d=1 t=116966
xiong xiong 	熊熊	c=1 d=1 t=10136
xiu 	修	c=31 d=1 t=148296
xiu fa 	秀髮	c=1 d=1 t=51664
xiu fu 	修復	c=279 d=1.00194 t=156630
xiu gai 	修改	c=363 d=1.02574 t=155992
xiu gai cheng 	修改成	c=2 d=1 t=154772
xiu gai le 	修改了	c=2 d=1 t=55384
xiu jia 	休假	c=1 d=1 t=40146
xiu mian 	休眠	c=3 d=1 t=15420
xiu tan 	嗅探	c=1 d=1 t=48011
xiu xi 	休息	c=7 d=1 t=149600
xiu zheng 	修正	c=46 d=1.17907 t=156348
xu 	序	c=4 d=1 t=151817
xu 	徐	c=59 d=1 t=156427
xu 	旭	c=5 d=1 t=154421
xu 	許	c=5 d=2.42673 t=144103
xu 	需	c=9 d=1.03298 t=147226
xu bu xu yao 	需不需要	c=1 d=1 t=29275
xu chuan 	續傳	c=1 d=1 t=110515
xu fei 	續費	c=5 d=3.85959 t=44018
xu hao 	序號	c=1 d=1 t=151827
xu jing lei 	徐靜蕾	c=1 d=1 t=101332
xu lie 	序列	c=1 d=1 t=95849
xu lie hua 	序列化	c=12 d=1 t=155799
xu ni 	虛擬	c=20 d=1.64406 t=117539
xu ni ji 	虛擬機	c=11 d=1 t=108255
xu qiu 	需求	c=71 d=2.49452 t=151039
xu sui 	虛歲	c=1 d=1 t=30800
xu wei 	虛僞	c=1 d=1 t=121333
xu yao 	需要	c=685 d=2.59065 t=156679
xu yuan 	許願	c=2 d=1 t=122856
xuan 	選	c=51 d=2.25807 t=156165
xuan ran 	渲染	c=9 d=1 t=151815
xuan ren 	選人	c=6 d=1.96079 t=132004
xuan shi 	宣誓	c=1 d=1 t=110284
xuan xiang 	選項	c=5 d=1 t=151495
xuan xing 	選型	c=9 d=2.7576 t=135013
xuan zan 	宣贊	c=1 d=1 t=123472
xuan ze 	選擇	c=62 d=1 t=144950
xuan zhong 	選中	c=20 d=1.006 t=152220
xue 	學	c=8 d=1.97531 t=114023
xue 	血	c=2 d=1 t=118599
xue fen 	學分	c=55 d=1.97531 t=136738
xue li 	學歷	c=1 d=1 t=114021
xue shu 	學術	c=2 d=1 t=78603
xue xi 	學習	c=79 d=1 t=149119
xue xiao 	學校	c=1 d=1 t=114026
xun 	訓	c=4 d=1 t=138014
xun huan 	循環	c=17 d=1.00425 t=147975
xun jian 	巡檢	c=1 d=1 t=15804
xun lei 	迅雷	c=2 d=1.99501 t=145523
ya 	呀	c=3 d=1 t=98911
ya 	壓	c=2 d=1 t=114573
ya li biao 	壓力錶	c=1 d=1 t=128224
ya shi 	亞視	c=1 d=1 t=121112
ya shua 	牙刷	c=1 d=1 t=153110
ya suo 	壓縮	c=6 d=1.956 t=152664
ya suo bao 	壓縮包	c=6 d=2.02071 t=154699
yan 	妍	c=1 d=0.1 t=150404
yan 	彥	c=5 d=1 t=110950
yan 	演	c=2 d=1 t=99456
yan 	炎	c=2 d=1.92312 t=86962
yan 	眼	c=1 d=1 t=103636
yan 	衍	c=58 d=1 t=156422
yan 	顏	c=3 d=1.86936 t=34143
yan 	驗	c=4 d=1.01398 t=102870
yan chang 	延長	c=4 d=2.89319 t=79190
yan chi 	延遲	c=7 d=1 t=141669
yan fa 	研發	c=2 d=1 t=74404
yan ge 	嚴格	c=2 d=1.85642 t=108988
yan hou 	延後	c=9 d=1.32628 t=152906
yan hua 	眼花	c=1 d=1 t=51814
yan jiao 	眼角	c=1 d=1 t=24060
yan jiu 	研究	c=2 d=1 t=105918
yan qi 	延期	c=9 d=1.99005 t=155831
yan se 	顏色	c=4 d=1 t=115205
yan shi 	演示	c=25 d=1.9802 t=149693
yan shou 	驗收	c=2 d=1 t=139130
yan wen 	彥文	c=1 d=1 t=147921
yan zheng 	驗證	c=93 d=1.95996 t=154198
yan zheng hou 	驗證後	c=1 d=1 t=46050
yan zheng ma 	驗證碼	c=65 d=1 t=151431
yan zhong 	嚴重	c=4 d=1 t=133195
yang 	樣	c=31 d=1 t=153794
yang bing 	養病	c=1 d=1 t=94472
yang shi 	樣式	c=37 d=1 t=151516
yang zi 	樣子	c=6 d=1 t=150157
yao 	腰	c=1 d=1 t=79525
yao 	要	c=1262 d=2.05866 t=156413
yao 	鑰	c=3 d=1 t=114546
yao bu 	要不	c=7 d=1.00003 t=152904
yao bu yao 	要不要	c=9 d=1 t=140019
yao cao 	藥草	c=1 d=1 t=47967
yao chu 	要出	c=1 d=1 t=45842
yao hao 	要好	c=1 d=1 t=131688
yao me 	要麼	c=80 d=1.03011 t=155635
yao qian shu 	搖錢樹	c=1 d=1 t=147963
yao qing 	邀請	c=2 d=0.1 t=105074
yao qing ma 	邀請碼	c=1 d=1 t=105075
yao qiu 	要求	c=21 d=1 t=147477
yao si 	要死	c=1 d=1 t=66075
yao wen 	要問	c=5 d=1 t=10279
yao wen 	要聞	c=33 d=1 t=144210
yao wo 	要我	c=1 d=1 t=88391
yao yao wu qi 	遙遙無期	c=1 d=1 t=22812
yao yong 	要用	c=1 d=1 t=70012
yao yue 	邀約	c=0 d=0.1 t=89970
yao yue ren 	邀約人	c=2 d=1.99501 t=89972
ye 	也	c=610 d=3.60175 t=156289
ye 	頁	c=29 d=1 t=150441
ye dui 	也對	c=1 d=1 t=120642
ye he 	野鶴	c=1 d=1 t=61543
ye jiu shi 	也就是	c=1 d=1 t=43730
ye ke yi 	也可以	c=1 d=1 t=77638
ye mei 	也沒	c=1 d=1 t=92977
ye mian 	頁面	c=346 d=2.04361 t=156624
ye shi 	也是	c=5 d=1 t=132817
ye wu 	業務	c=67 d=1.00104 t=155986
ye wu duan 	業務端	c=2 d=1.99005 t=102174
ye wu xi tong 	業務系統	c=1 d=1 t=33228
ye wu zheng chang 	業務正常	c=1 d=1 t=139860
ye xing 	也行	c=2 d=1 t=147266
ye yao 	也要	c=21 d=1 t=154389
ye ye 	爺爺	c=1 d=1 t=150766
ye ying gai 	也應該	c=1 d=1 t=51485
ye you 	也有	c=2 d=1 t=132003
yi 	一	c=62 d=1.00019 t=156582
yi 	以	c=9 d=1 t=142893
yi 	億	c=2 d=1.86071 t=51212
yi 	奕	c=1 d=1 t=17608
yi 	已	c=305 d=1.03725 t=155084
yi 	易	c=9 d=2.94605 t=129599
yi 	義	c=3 d=1 t=123527
yi ban 	一半	c=1 d=1 t=126134
yi ban 	一版	c=2 d=1 t=129311
yi ban 	一般	c=30 d=1 t=153689
yi bian 	一遍	c=12 d=1.00006 t=137946
yi bing 	一併	c=1 d=1 t=69648
yi bu 	異步	c=14 d=1 t=125195
yi bu fen 	一部分	c=4 d=1 t=128058
yi ceng 	一層	c=2 d=1 t=50448
yi ceng ceng 	一層層	c=2 d=1 t=146484
yi chan 	遺產	c=1 d=1 t=93400
yi chang 	異常	c=37 d=1 t=150265
yi chu 	溢出	c=5 d=1.00013 t=89009
yi chu 	移除	c=41 d=1.58567 t=148100
yi ci 	一次	c=29 d=1.93387 t=156258
yi dao 	一道	c=2 d=1 t=62719
yi di 	異地	c=6 d=1 t=100176
yi ding 	一定	c=11 d=1 t=147436
yi dong 	移動	c=64 d=1.04741 t=152095
yi dong dao 	移動到	c=1 d=1 t=133721
yi dong yun 	移動雲	c=4 d=1 t=154258
yi du 	已讀	c=4 d=1.00947 t=105270
yi duan 	一段	c=2 d=1 t=136034
yi dui 	一堆	c=4 d=1 t=135748
yi fang wan yi 	以防萬一	c=1 d=1 t=116824
yi fen 	一份	c=21 d=1 t=154167
yi fu 	衣服	c=2 d=1 t=132977
yi gai 	一改	c=1 d=1 t=66650
yi ge 	一個	c=235 d=1.00079 t=156581
yi ge ge 	一個個	c=14 d=1 t=152153
yi ge ren 	一個人	c=1 d=1 t=34920
yi gong 	一共	c=3 d=1 t=134757
yi hai 	乙醯	c=1 d=1 t=36544
yi hai 	遺骸	c=1 d=1 t=36545
yi hang 	一行	c=5 d=1 t=156571
yi hao 	一號	c=2 d=1.99005 t=37449
yi hou 	以後	c=14 d=1 t=145155
yi hou bu guan 	以後不管	c=1 d=1 t=138322
yi hui 	一會	c=3 d=1 t=132035
yi hui er 	一會兒	c=6 d=1.43387 t=149221
yi ji 	一級	c=1 d=1 t=22735
yi jian 	一鍵	c=1 d=1 t=11782
yi jian 	意見	c=15 d=1 t=155394
yi jian xiang 	意見箱	c=10 d=1 t=116739
yi jiang 	一講	c=2 d=1 t=50781
yi jing 	已經	c=275 d=1.4522 t=156173
yi jing na ge 	已經哪個	c=1 d=1 t=42121
yi jiong 	已囧	c=3 d=1 t=147356
yi jiu si 	一九四	c=1 d=1 t=130284
yi kai shi 	一開始	c=3 d=1 t=75712
yi kao 	依靠	c=5 d=1 t=152945
yi kuai 	一塊	c=1 d=1 t=67122
yi lai 	以來	c=1 d=1 t=13650
yi lai 	依賴	c=25 d=1 t=151110
yi liao 	醫療	c=1 d=1 t=82287
yi liu 	遺留	c=6 d=1 t=135858
yi lou 	遺漏	c=1 d=1 t=69352
yi mian 	以免	c=1 d=1 t=128568
yi miao 	一秒	c=2 d=1 t=121437
yi miao 	疫苗	c=2 d=1 t=38003
yi nian 	一年	c=3 d=1 t=108688
yi pi 	一批	c=1 d=1 t=42437
yi qi 	一起	c=131 d=1.00335 t=155562
yi qian 	以前	c=31 d=1.05848 t=156044
yi qing 	疫情	c=2 d=0.100074 t=125356
yi qing 	移情	c=1 d=1 t=28809
yi qing shang 	疫情上	c=1 d=1 t=125357
yi quan 	一圈	c=2 d=1 t=149545
yi ren 	一人	c=3 d=1 t=139110
yi shan 	一閃	c=2 d=1 t=75331
yi shi 	一時	c=2 d=1 t=65315
yi shi ban hui 	一時半會	c=1 d=1 t=83328
yi si 	意思	c=105 d=2.43067 t=153833
yi tai 	一臺	c=25 d=1.01862 t=151877
yi tai 	以太	c=1 d=1 t=100417
yi tai tai 	一臺臺	c=2 d=1 t=149908
yi tao 	一套	c=4 d=1 t=138503
yi ti 	一題	c=7 d=1.99005 t=153343
yi tian 	一天	c=22 d=1 t=150763
yi tiao 	一條	c=25 d=1.01046 t=137630
yi tiao 	一跳	c=1 d=1 t=34155
yi tiao tiao 	一條條	c=1 d=1 t=127984
yi tui 	一推	c=1 d=1 t=123074
yi wai 	以外	c=1 d=1 t=148483
yi wei 	一位	c=3 d=2.92644 t=151542
yi wei 	以爲	c=18 d=1 t=142264
yi wen 	疑問	c=1 d=1 t=30934
yi xi lie 	一系列	c=1 d=1 t=108699
yi xia 	一下	c=70 d=1.03936 t=156110
yi xia 	以下	c=2 d=1 t=143418
yi xie 	一些	c=8 d=1 t=156484
yi yang 	一樣	c=128 d=1.00477 t=154159
yi yi 	意義	c=7 d=1.89583 t=154525
yi you 	已有	c=1 d=1 t=26097
yi yuan 	醫院	c=3 d=1 t=123795
yi zai 	一再	c=1 d=1 t=13227
yi zhang 	一張	c=2 d=1 t=40569
yi zhi 	一直	c=49 d=1 t=153116
yi zhi 	一致	c=37 d=1.07305 t=155775
yi zhi 	一隻	c=1 d=1 t=18951
yi zhi 	已知	c=4 d=1 t=138445
yi zhi 	抑制	c=1 d=1 t=53946
yi zhi 	移植	c=3 d=1 t=51201
yi zhong 	一種	c=8 d=1 t=155923
yin 	印	c=1 d=1 t=37295
yin 	吟	c=2 d=1.91393 t=70657
yin 	引	c=2 d=1 t=96724
yin cang 	隱藏	c=54 d=1 t=148017
yin cha 	飲茶	c=1 d=1 t=12979
yin gong 	因公	c=1 d=1 t=8996
yin hang 	銀行	c=8 d=1 t=123762
yin hang ka 	銀行卡	c=1 d=1 t=1349
yin hao 	引號	c=3 d=1.34994 t=123692
yin he xi 	銀河系	c=1 d=1 t=36773
yin lian 	銀聯	c=1 d=1 t=141603
yin luan 	淫亂	c=1 d=1 t=133032
yin pin 	音頻	c=2 d=1 t=112862
yin qing 	引擎	c=1 d=1 t=9808
yin ru 	引入	c=4 d=1.99501 t=62608
yin shui 	飲水	c=4 d=2.76103 t=145993
yin si 	隱私	c=1 d=1 t=71720
yin su 	因素	c=1 d=1 t=147841
yin wei 	因爲	c=63 d=1 t=155729
yin xiang 	印象	c=1 d=1 t=88779
yin yong 	引用	c=1 d=1 t=140543
yin yue 	音樂	c=1 d=1 t=64160
ying 	應	c=2 d=1 t=70746
ying 	硬	c=4 d=1.92312 t=67161
ying 	贏	c=7 d=1 t=86914
ying gai 	應該	c=890 d=1.5823 t=156479
ying gai hui 	應該會	c=1 d=1 t=39302
ying gai shi 	應該是	c=13 d=1 t=141725
ying gen ju 	應根據	c=1 d=1 t=142019
ying guang gao 	硬廣告	c=1 d=1 t=143638
ying jian 	硬件	c=5 d=1 t=138025
ying pan 	硬盤	c=3 d=1 t=99254
ying she 	映射	c=22 d=1.22901 t=152425
ying shou 	營收	c=5 d=1 t=113834
